Control,Location,BCF,Mean,STDEV,Subgroup
Neg. Control,A1,0.01904896218,8,0.2767903461,A1 Neg
Neg. Control,A1,-0.1724878012,-0.2118442663,0.6364418479,A2 Neg
Neg. Control,A1,-0.3711561634,39,3.258768238,A1 Exp
Neg. Control,A1,0.2589026853,9.513517527,4.012236319,A2 Exp
Neg. Control,A2,-0.7773103248,,,
Neg. Control,A2,-1.037192699,,,
Neg. Control,A2,-0.2760049161,,,
Neg. Control,A1,-0.2681699624,,,
Neg. Control,A1,-0.3986307524,,,
Neg. Control,A1,0.06909016252,,,
Neg. Control,A1,0.3203911989,,,
Neg. Control,A2,0.3267260138,,,
Neg. Control,A2,0.3110204182,,,
Neg. Control,A2,0.7110959671,,,
Neg. Control,A2,-0.8473156413,,,
Neg. Control,A2,-0.1057729481,,,
Experimental,A1,3.078044767,,,
Experimental,A1,3.602685996,,,
Experimental,A1,4.542778471,,,
Experimental,A1,4.617992174,,,
Experimental,A1,4.835466146,,,
Experimental,A1,4.956285769,,,
Experimental,A1,6.166315152,,,
Experimental,A1,6.551587859,,,
Experimental,A1,6.685890799,,,
Experimental,A1,7.166451176,,,
Experimental,A1,7.214063147,,,
Experimental,A1,8.347626225,,,
Experimental,A1,8.537519871,,,
Experimental,A1,8.59773561,,,
Experimental,A1,8.670466291,,,
Experimental,A1,8.836920973,,,
Experimental,A1,9.164621005,,,
Experimental,A1,9.465067804,,,
Experimental,A1,9.465168139,,,
Experimental,A1,9.895213141,,,
Experimental,A1,10.4101477,,,
Experimental,A1,12.68483002,,,
Experimental,A1,13.05284863,,,
Experimental,A1,13.5731322,,,
Experimental,A1,4.846147697,,,
Experimental,A1,3.122738956,,,
Experimental,A1,5.118929454,,,
Experimental,A1,0.7742032434,,,
Experimental,A1,2.848264113,,,
Experimental,A1,3.170919925,,,
Experimental,A1,1.647324518,,,
Experimental,A1,6.733041719,,,
Experimental,A1,4.375261197,,,
Experimental,A1,2.729542064,,,
Experimental,A1,3.921678215,,,
Experimental,A1,4.806775607,,,
Experimental,A1,2.853716724,,,
Experimental,A1,5.775787321,,,
Experimental,A1,1.176878601,,,
Experimental,A2,12.81981726,,,
Experimental,A2,11.52034337,,,
Experimental,A2,14.53286699,,,
Experimental,A2,11.40448013,,,
Experimental,A2,5.42391931,,,
Experimental,A2,11.13361088,,,
Experimental,A2,4.033951612,,,
Experimental,A2,12.69655759,,,
Experimental,A2,12.5485681,,,
Experimental,A2,13.76436944,,,
Experimental,A2,14.47298005,,,
Experimental,A2,12.21018707,,,
Experimental,A2,14.57877855,,,
Experimental,A2,7.150735818,,,
Experimental,A2,6.06232407,,,
Experimental,A2,5.895915271,,,
Experimental,A2,14.90132613,,,
Experimental,A2,8.133843495,,,
Experimental,A2,7.124890934,,,
Experimental,A2,7.82242788,,,
Experimental,A2,10.09286071,,,
Experimental,A2,4.968363267,,,
Experimental,A2,6.52584236,,,
Experimental,A2,5.444150452,,,
Experimental,A2,10.30347237,,,
Experimental,A2,6.162523256,,,
Experimental,A2,4.254706492,,,
Experimental,A2,13.85973466,,,
Experimental,A2,12.37975908,,,
Experimental,A2,4.621558355,,,
Experimental,A2,11.1516367,,,
Experimental,A2,15.47726223,,,
Experimental,A2,0.4723144753,,,
